1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6585,5666,5405,5296,5183,4948,4923,4863,4839,4731,4699,4683,4675,4673,4647,4643,4534,4425,4422,4417,4406,4370,4364,4343,4323
6424,5028,4849,4773,4732,4712,4661,4641,4629,4621,4620,4588,4575,4572,4540,4528,4517,4495,4489,4483,4405,4394,4373,4336,4323
6645,5393,5101,5028,4968,4914,4853,4802,4797,4764,4651,4637,4602,4570,4562,4554,4545,4544,4536,4455,4445,4433,4424,4325,4323
6258,6235,5630,5283,5125,4981,4945,4941,4883,4836,4781,4654,4527,4513,4506,4487,4398,4390,4384,4381,4359,4357,4342,4332,4323
6400,5307,5184,5039,4975,4931,4874,4854,4792,4736,4722,4710,4595,4582,4579,4576,4556,4530,4524,4444,4433,4405,4398,4396,4323
6589,5480,5188,5077,4866,4845,4794,4754,4711,4702,4592,4566,4550,4534,4519,4515,4500,4480,4477,4448,4443,4437,4430,4328,4323
6585,5666,5392,5084,4889,4874,4802,4784,4654,4651,4503,4463,4450,4443,4441,4419,4408,4396,4391,4370,4359,4350,4328,4325,4323
6111,5353,5168,5012,4810,4782,4700,4655,4648,4633,4516,4502,4487,4484,4470,4442,4436,4431,4415,4407,4401,4379,4359,4324,4323
6790,5716,5302,5115,4967,4938,4790,4720,4705,4672,4643,4525,4516,4502,4495,4481,4455,4452,4440,4437,4426,4349,4346,4343,4323
6963,5461,5257,5149,4909,4886,4798,4770,4706,4676,4652,4649,4578,4572,4566,4440,4429,4407,4404,4369,4357,4346,4343,4334,4323
