number of genomes,number of pan-genes,number of core-genes
1,6585,6585
1,6424,6424
1,6645,6645
1,6258,6258
1,6400,6400
1,6589,6589
1,6585,6585
1,6111,6111
1,6790,6790
1,6963,6963
2,8227,5666
2,7683,5028
2,7539,5393
2,6293,6235
2,7990,5307
2,8006,5480
2,8227,5666
2,7601,5353
2,8382,5716
2,7902,5461
3,9064,5405
3,8612,4849
3,8438,5101
3,7236,5630
3,8812,5184
3,8965,5188
3,8835,5392
3,8226,5168
3,9008,5302
3,8534,5257
4,9476,5296
4,9463,4773
4,8857,5028
4,8531,5283
4,9745,5039
4,9873,5077
4,9355,5084
4,9268,5012
4,10006,5115
4,9401,5149
5,10226,5183
5,9936,4732
5,9893,4968
5,9476,5125
5,10545,4975
5,10527,4866
5,10274,4889
5,10167,4810
5,10493,4967
5,10278,4909
6,11025,4948
6,10755,4712
6,10415,4914
6,10466,4981
6,10975,4931
6,11029,4845
6,10583,4874
6,10688,4782
6,10585,4938
6,10631,4886
7,11493,4923
7,11126,4661
7,11230,4853
7,10779,4945
7,11861,4874
7,11764,4794
7,11258,4802
7,11315,4700
7,11724,4790
7,11395,4798
8,12221,4863
8,11641,4641
8,11574,4802
8,10836,4941
8,12451,4854
8,12776,4754
8,11457,4784
8,12111,4655
8,12405,4720
8,12022,4770
9,12672,4839
9,12246,4629
9,11620,4797
9,11152,4883
9,12851,4792
9,13616,4711
9,12209,4654
9,12422,4648
9,12858,4705
9,12538,4706
10,13132,4731
10,12502,4621
10,12038,4764
10,11860,4836
10,13461,4736
10,13883,4702
10,12269,4651
10,12499,4633
10,13373,4672
10,13137,4676
11,13668,4699
11,12512,4620
11,12482,4651
11,12415,4781
11,13824,4722
11,14317,4592
11,12805,4503
11,13040,4516
11,13654,4643
11,13884,4652
12,14185,4683
12,13083,4588
12,12833,4637
12,13091,4654
12,14431,4710
12,14565,4566
12,13705,4463
12,13495,4502
12,14314,4525
12,13929,4649
13,14427,4675
13,13765,4575
13,13477,4602
13,13584,4527
13,15043,4595
13,14833,4550
13,14150,4450
13,14317,4487
13,14637,4516
13,14339,4578
14,14449,4673
14,13817,4572
14,14225,4570
14,14086,4513
14,15207,4582
14,15296,4534
14,14450,4443
14,14357,4484
14,15036,4502
14,14608,4572
15,15200,4647
15,14368,4540
15,14711,4562
15,14328,4506
15,15250,4579
15,15366,4519
15,14452,4441
15,14783,4470
15,15283,4495
15,15179,4566
16,15219,4643
16,14743,4528
16,15321,4554
16,14678,4487
16,15268,4576
16,15383,4515
16,14672,4419
16,15413,4442
16,15443,4481
16,15598,4440
17,15663,4534
17,15228,4517
17,15942,4545
17,14806,4398
17,15755,4556
17,15807,4500
17,15202,4408
17,15655,4436
17,15928,4455
17,15760,4429
18,16257,4425
18,15870,4495
18,15945,4544
18,15307,4390
18,16221,4530
18,16118,4480
18,15601,4396
18,15891,4431
18,15973,4452
18,15968,4407
19,16492,4422
19,15995,4489
19,16080,4536
19,15872,4384
19,16410,4524
19,16162,4477
19,16182,4391
19,16378,4415
19,16413,4440
19,16421,4404
20,16774,4417
20,16212,4483
20,16201,4455
20,16343,4381
20,16531,4444
20,16631,4448
20,16490,4370
20,16840,4407
20,16431,4437
20,17201,4369
21,16842,4406
21,16608,4405
21,16652,4445
21,16685,4359
21,16888,4433
21,16818,4443
21,16557,4359
21,16961,4401
21,16771,4426
21,17530,4357
22,17627,4370
22,16675,4394
22,16978,4433
22,17032,4357
22,17115,4405
22,16948,4437
22,16909,4350
22,17154,4379
22,17139,4349
22,17838,4346
23,17745,4364
23,17013,4373
23,17313,4424
23,17466,4342
23,17544,4398
23,17386,4430
23,17559,4328
23,17474,4359
23,17375,4346
23,17855,4343
24,17935,4343
24,17808,4336
24,17888,4325
24,17923,4332
24,17888,4396
24,17963,4328
24,18004,4325
24,18231,4324
24,17935,4343
24,18165,4334
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
25,18232,4323
