1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6585,8227,9064,9476,10226,11025,11493,12221,12672,13132,13668,14185,14427,14449,15200,15219,15663,16257,16492,16774,16842,17627,17745,17935,18232
6424,7683,8612,9463,9936,10755,11126,11641,12246,12502,12512,13083,13765,13817,14368,14743,15228,15870,15995,16212,16608,16675,17013,17808,18232
6645,7539,8438,8857,9893,10415,11230,11574,11620,12038,12482,12833,13477,14225,14711,15321,15942,15945,16080,16201,16652,16978,17313,17888,18232
6258,6293,7236,8531,9476,10466,10779,10836,11152,11860,12415,13091,13584,14086,14328,14678,14806,15307,15872,16343,16685,17032,17466,17923,18232
6400,7990,8812,9745,10545,10975,11861,12451,12851,13461,13824,14431,15043,15207,15250,15268,15755,16221,16410,16531,16888,17115,17544,17888,18232
6589,8006,8965,9873,10527,11029,11764,12776,13616,13883,14317,14565,14833,15296,15366,15383,15807,16118,16162,16631,16818,16948,17386,17963,18232
6585,8227,8835,9355,10274,10583,11258,11457,12209,12269,12805,13705,14150,14450,14452,14672,15202,15601,16182,16490,16557,16909,17559,18004,18232
6111,7601,8226,9268,10167,10688,11315,12111,12422,12499,13040,13495,14317,14357,14783,15413,15655,15891,16378,16840,16961,17154,17474,18231,18232
6790,8382,9008,10006,10493,10585,11724,12405,12858,13373,13654,14314,14637,15036,15283,15443,15928,15973,16413,16431,16771,17139,17375,17935,18232
6963,7902,8534,9401,10278,10631,11395,12022,12538,13137,13884,13929,14339,14608,15179,15598,15760,15968,16421,17201,17530,17838,17855,18165,18232
